Stationid,0-19,20-29,30-39,40-49,50-100
"128",0,753,2237,1108,1190
"438",0,549,1322,576,498
"383",0,426,1334,739,630
"361",0,559,1162,645,568
"284",0,577,2399,1627,1924
"346",0,208,906,698,767
"512",0,351,976,632,761
"525",0,198,459,347,329
"403",1,556,1194,549,592
"441",0,240,752,374,291
"329",1,476,1092,995,962
"505",1,513,1663,919,941
"294",0,583,1015,558,784
"257",0,305,823,687,712
"480",0,243,1183,549,471
"307",0,442,1134,779,860
"224",0,167,510,355,316
"485",0,213,759,544,525
"309",0,238,578,369,379
"350",0,160,463,598,547
"388",1,268,1097,852,866
"316",0,251,589,426,487
"439",2,573,1411,596,794
"153",0,330,1350,1157,1303
"404",0,476,1394,794,764
"432",0,1090,1867,816,872
"405",2,407,1637,1070,746
"489",0,451,1682,849,636
"236",0,867,1692,907,781
"251",2,576,1745,796,629
"520",0,184,665,455,541
"536",0,516,1449,872,732
"360",0,196,584,450,384
"336",0,485,1309,524,442
"366",0,55,610,404,176
"168",0,548,2019,1275,1463
"2021",0,291,1087,744,803
"457",0,295,1257,874,944
"335",0,552,1226,674,766
"453",0,322,1297,981,1378
"486",0,410,1439,869,910
"472",5,533,1554,1177,1105
"368",0,738,2558,1120,1252
"454",0,166,587,286,354
"340",0,227,429,248,361
"463",0,412,1542,1145,980
"238",0,237,632,516,777
"494",0,421,1683,963,1296
"263",0,370,939,642,816
"430",0,174,652,405,260
"2004",0,305,932,622,572
"469",0,160,788,513,569
"223",0,345,1198,671,967
"293",1,1342,3356,1858,2045
"519",0,1008,3270,2636,3328
"164",0,351,792,533,440
"537",0,1210,2220,1103,1251
"157",0,97,467,264,228
"532",0,217,891,311,173
"500",0,286,1225,959,882
"490",0,570,1804,1386,1525
"459",0,587,2288,1276,1296
"499",0,481,1768,1264,1460
"423",0,151,699,394,329
"310",1,92,616,388,280
"528",1,680,1271,612,709
"504",4,966,1512,700,930
"437",0,69,168,145,49
"3002",1,648,1568,1230,1664
"449",0,302,1189,636,568
"237",1,804,1627,651,736
"327",22,418,2000,1821,1496
"285",7,1111,2334,1327,1525
"401",1,691,1648,666,468
"426",3,798,2347,1820,1621
"348",2,527,1397,781,904
"479",0,515,1452,850,805
"303",0,347,838,542,510
"412",0,354,662,364,531
"151",1,846,2508,1374,1161
"511",0,1187,1662,687,992
"367",0,170,608,395,451
"476",1,708,1431,620,649
"470",0,504,1142,732,949
"492",5,553,1382,980,1062
"396",0,59,268,74,59
"446",0,523,1763,1238,1434
"271",0,87,541,555,342
"395",0,73,446,241,151
"488",0,415,1394,1084,1096
"2010",1,348,850,469,676
"521",0,643,3012,4159,4781
"357",0,310,807,655,733
"526",0,391,1141,747,697
"152",1,240,580,557,515
"498",0,561,1367,705,653
"312",0,579,1347,715,640
"297",2,701,1487,666,739
"359",0,193,864,972,1134
"518",7,643,1544,951,967
"510",0,271,898,777,809
"531",1,660,1149,635,683
"265",4,340,962,632,637
"258",0,51,368,271,133
"442",1,461,1379,1088,1386
"290",0,335,1007,537,447
"487",0,431,959,404,642
"376",0,246,512,431,400
"434",0,450,1186,844,935
"167",1,545,1091,881,851
"295",0,344,687,307,477
"527",0,906,1570,938,751
"416",0,47,269,307,136
"478",1,479,1413,849,703
"394",0,621,862,481,510
"387",0,351,1052,798,818
"529",0,479,2039,2115,2419
"477",0,551,1913,1649,1630
"517",0,489,1468,1396,1672
"458",0,500,1878,1090,835
"380",0,465,1606,876,1012
"280",0,311,828,586,801
"306",1,379,786,411,407
"474",0,394,1284,908,1127
"509",0,443,1430,1093,1733
"301",0,736,1241,577,523
"317",0,631,998,421,484
"391",1,89,379,362,355
"369",0,319,887,435,549
"417",0,463,1636,1500,1278
"300",1,523,1121,516,552
"473",0,287,832,416,308
"530",0,148,1235,840,847
"332",0,76,281,407,471
"382",1,757,1984,1096,1394
"2003",1,624,1110,381,593
"239",0,87,403,292,173
"358",0,607,2239,1512,1491
"355",1,285,874,366,601
"267",2,201,642,459,471
"466",0,463,1437,948,1000
"147",2,411,1391,1243,1393
"447",0,364,1179,738,845
"482",0,422,1545,903,1049
"491",0,503,1282,856,851
"484",0,216,1068,1154,1188
"82",0,134,216,248,191
"345",0,367,1197,777,1066
"270",0,69,544,336,158
"352",0,237,1054,694,636
"330",0,144,398,474,663
"507",0,924,1501,636,682
"276",1,296,532,375,636
"377",0,302,815,563,426
"546",19,595,1599,933,1061
"160",1,270,732,364,430
"2017",0,150,488,267,287
"410",0,536,1337,829,487
"150",0,473,736,254,254
"127",0,681,2430,1596,1830
"325",0,383,1130,586,547
"2008",4,266,805,521,691
"2009",0,200,426,341,338
"496",2,441,1561,1040,1074
"448",0,620,1577,630,465
"515",3,395,1188,824,999
"433",0,825,1424,633,645
"402",0,812,2225,1567,1793
"331",0,297,394,185,242
"461",0,700,1544,657,829
"296",0,322,430,360,589
"462",0,505,1639,1206,1267
"465",5,337,1268,1103,883
"397",0,41,386,176,107
"372",0,39,102,32,23
"501",0,380,711,620,674
"315",0,202,655,445,607
"339",0,133,209,72,171
"495",0,385,1305,863,781
"161",1,600,1230,670,804
"242",0,67,193,141,70
"375",0,597,1552,1093,1177
"363",0,248,1098,964,1176
"385",0,165,547,319,415
"445",0,1085,1689,676,818
"406",0,58,305,342,300
"261",0,134,536,231,95
"302",0,226,273,277,454
"146",1,172,581,436,716
"523",0,458,1560,1307,1297
"349",0,380,518,345,225
"334",0,342,1298,914,1074
"264",0,294,627,448,420
"497",1,879,3142,1820,2095
"259",0,199,619,430,469
"427",0,129,503,274,482
"460",0,98,425,146,65
"468",0,171,1304,773,761
"514",1,503,1306,989,849
"422",0,119,810,439,420
"341",0,248,292,362,329
"428",12,607,1350,614,654
"522",0,211,595,537,489
"79",4,216,603,536,748
"440",0,285,734,594,567
"250",1,778,2164,1269,1153
"513",0,209,862,515,497
"218",0,34,211,103,41
"281",0,270,948,892,826
"471",0,113,500,108,81
"545",0,594,1384,681,983
"291",0,177,321,328,387
"435",0,816,2748,2088,2330
"241",0,55,347,233,113
"455",0,148,651,628,741
"120",0,64,229,118,38
"419",0,96,130,89,108
"516",0,149,382,334,398
"538",0,183,773,740,826
"2012",0,384,979,565,525
"72",0,179,954,604,601
"393",0,299,631,346,305
"415",0,197,571,478,395
"356",0,233,518,742,727
"326",0,535,1314,503,637
"278",0,198,178,151,69
"533",2,278,851,659,707
"379",0,604,1674,1242,1383
"247",0,211,828,570,588
"398",0,66,298,184,154
"266",0,170,371,197,190
"254",0,267,745,469,642
"253",0,297,756,585,787
"311",0,335,619,534,504
"420",0,59,284,128,91
"483",0,864,1659,748,673
"362",1,186,582,504,438
"389",0,64,366,103,58
"248",0,85,292,243,265
"217",0,73,267,165,173
"503",0,549,1449,820,1064
"351",0,199,503,429,467
"2022",0,101,572,332,436
"481",0,82,333,141,33
"444",2,551,1787,1389,1308
"282",0,34,254,112,80
"225",0,420,1179,681,667
"289",0,12,101,92,13
"2000",0,63,526,291,237
"174",2,516,994,444,505
"421",0,66,256,103,16
"2002",0,147,821,300,183
"467",0,97,492,233,192
"365",0,86,321,272,117
"353",0,28,245,183,65
"400",0,142,194,107,139
"252",0,352,969,457,630
"308",0,243,487,339,328
"116",0,495,1732,1102,1096
"409",0,20,212,88,14
"244",0,16,335,213,93
"262",0,29,333,215,151
"195",3,321,915,611,751
"320",0,199,682,363,497
"475",0,386,1197,605,800
"305",1,382,1304,869,800
"275",0,21,237,184,134
"411",0,246,633,278,276
"328",0,280,965,728,752
"83",0,79,341,221,129
"408",0,152,372,211,278
"249",0,211,377,385,541
"228",0,267,872,514,573
"386",0,176,515,425,554
"322",0,48,163,202,196
"314",0,93,374,442,350
"364",0,65,213,183,53
"279",0,289,653,504,530
"143",0,69,319,314,213
"456",0,99,498,474,451
"2005",0,11,34,24,6
"443",0,36,57,24,19
"324",0,97,452,311,197
"344",0,43,161,173,53
"144",0,41,131,58,27
"342",0,129,238,319,557
"304",3,328,656,615,657
"232",0,18,95,83,81
"243",0,36,322,203,82
"321",0,43,164,170,136
"354",0,91,236,147,72
"539",1,186,713,278,120
"313",0,115,385,250,80
"399",0,20,202,114,77
"392",1,132,227,143,197
"245",0,37,99,107,68
"343",0,47,111,41,51
"2023",0,114,540,367,457
"268",0,299,907,646,541
"216",0,22,118,87,114
"390",0,38,213,200,239
"298",0,12,161,79,89
"464",0,149,649,451,484
"260",0,153,355,368,224
"323",1,117,560,267,187
"534",0,79,411,268,341
"2006",0,211,641,384,383
"373",0,47,223,130,76
"337",0,149,392,323,366
"407",0,28,150,118,130
"274",0,35,271,206,154
"414",0,49,397,280,167
"418",0,25,192,146,100
"233",0,22,77,109,91
"436",0,46,96,50,40
"431",0,37,60,92,19
"119",0,20,23,18,22
"2001",0,18,41,39,13
"137",0,151,477,459,422
"502",0,67,321,456,452
"173",0,242,776,549,532
"318",0,131,720,683,749
"524",0,124,384,303,290
"493",0,56,265,287,242
"508",0,1,6,4,2
"212",0,0,1,0,0
