Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"434",39,12,13,8,2,2,3,30,64,92,108,80,119,143,125,112,118,157,170,150,97,63,53,37
"406",44,17,13,4,6,6,12,21,48,75,51,102,111,94,99,113,124,147,165,144,128,94,62,61
"262",19,5,5,1,0,0,4,4,12,10,12,16,21,25,29,22,28,35,50,50,38,26,26,18
"310",24,14,9,8,0,0,8,22,32,36,47,70,82,102,103,97,63,149,191,124,106,71,46,24
"532",60,36,27,7,13,4,6,21,40,47,53,57,133,176,194,155,146,145,181,230,169,114,89,76
"521",60,19,20,15,7,13,60,117,178,177,151,134,173,235,256,278,378,591,420,277,190,159,101,75
"436",16,10,2,1,8,0,0,1,5,5,2,4,15,15,21,15,12,10,33,25,26,32,23,25
"303",20,8,9,3,4,5,17,33,97,179,96,118,172,194,180,202,170,223,206,158,95,43,30,21
"314",38,15,11,8,5,7,41,65,108,112,88,97,119,138,133,137,132,181,231,187,152,92,67,33
"365",15,9,6,4,4,2,1,9,9,13,21,27,34,30,25,40,36,55,66,83,46,42,38,33
"296",17,11,16,3,5,3,4,12,22,33,56,75,76,75,70,53,68,74,70,76,64,34,35,27
"300",6,5,1,2,3,3,24,57,136,67,32,31,39,35,43,38,38,26,34,28,39,18,15,7
"347",28,17,13,13,9,8,55,85,204,253,146,146,175,187,188,166,170,188,231,218,170,123,58,48
"503",14,10,2,1,0,4,4,20,55,80,84,73,65,105,125,105,88,124,102,61,45,37,30,16
"500",21,4,10,4,1,3,50,118,213,299,142,83,108,132,107,110,108,131,110,88,58,51,45,24
"494",38,10,14,11,10,11,9,31,60,72,47,82,95,81,59,88,111,154,197,133,117,75,57,63
"382",35,26,13,6,3,14,26,68,160,203,129,166,173,194,184,202,235,258,294,233,140,111,80,54
"358",60,34,10,8,12,3,16,65,139,123,131,172,257,297,298,252,331,391,420,302,234,193,105,74
"432",63,46,33,10,6,6,9,20,53,49,44,88,87,150,153,166,159,208,274,278,244,164,116,111
"453",47,20,19,11,5,11,16,29,78,68,67,99,98,125,110,117,138,212,230,186,148,106,86,62
"345",23,27,10,8,6,7,30,64,110,123,101,101,104,113,107,129,161,207,196,175,103,87,85,61
"461",39,15,9,10,7,19,23,54,121,65,71,89,100,104,105,132,135,194,238,161,139,106,96,53
"401",82,27,22,23,4,6,7,28,53,58,74,94,111,114,129,138,121,175,240,214,206,165,108,86
"410",48,30,22,8,7,1,6,18,44,42,47,69,85,86,120,120,109,147,231,179,154,117,105,66
"519",34,21,6,8,2,17,66,164,315,259,167,124,150,151,181,180,206,314,289,204,130,87,61,42
"480",31,17,14,4,6,3,13,26,43,36,49,41,60,57,69,67,84,116,164,119,110,88,58,68
"317",28,8,5,5,8,5,14,35,80,70,38,55,60,64,94,82,80,110,131,124,65,55,56,33
"295",19,20,10,1,6,6,10,19,33,56,35,46,62,62,48,44,61,62,90,66,74,47,52,47
"531",44,22,19,11,3,7,8,17,56,54,51,72,108,98,90,92,111,128,192,157,113,87,55,52
"420",14,11,2,1,0,0,0,1,7,11,24,28,34,40,51,46,31,41,68,37,36,40,34,18
"485",24,13,8,6,10,26,65,69,176,185,109,116,132,151,159,171,134,150,160,150,83,72,66,41
"236",54,30,35,18,8,0,13,28,82,86,73,106,135,185,160,156,171,213,299,289,184,144,106,72
"223",23,21,11,5,1,9,19,20,39,68,54,76,95,87,79,99,125,158,175,177,114,67,82,56
"475",29,16,11,7,7,7,34,87,115,122,94,75,118,119,129,119,137,176,202,158,161,95,61,50
"380",52,23,18,11,2,5,10,32,123,121,100,120,153,163,200,172,164,258,319,234,188,133,83,83
"457",82,30,22,17,8,22,58,79,183,176,205,265,391,366,378,433,397,486,528,427,311,200,152,92
"505",20,13,8,4,3,1,2,17,35,87,56,85,88,113,99,115,122,188,165,135,89,58,36,43
"3002",4,8,4,0,3,0,3,6,19,27,36,16,42,32,36,40,29,48,50,55,38,26,23,12
"448",33,20,12,8,8,4,9,14,71,83,66,46,64,83,103,101,103,152,185,163,138,104,82,48
"528",46,26,10,12,9,6,17,36,62,87,68,111,117,119,150,183,200,297,360,317,248,146,134,65
"2009",5,1,5,0,1,2,8,6,24,20,8,27,27,37,30,32,39,39,29,37,27,13,12,5
"294",35,29,16,2,3,7,9,26,84,79,85,86,111,177,160,152,223,209,200,185,123,130,71,55
"478",40,25,15,4,10,11,16,32,27,33,53,69,73,128,99,103,145,193,243,192,144,131,87,75
"414",14,12,1,1,2,6,2,13,74,139,61,57,82,93,89,78,96,83,103,59,42,47,32,18
"465",34,19,11,11,4,20,26,93,221,221,137,96,144,159,146,133,136,180,149,149,103,88,63,49
"412",35,17,11,4,2,3,11,17,47,63,60,67,99,113,106,98,119,157,166,139,94,81,42,43
"324",48,30,13,6,15,7,25,63,139,115,93,101,148,160,137,149,131,168,233,205,183,109,77,66
"495",42,29,11,19,15,8,9,22,53,60,50,85,94,107,103,118,154,228,223,173,139,121,71,50
"462",24,18,6,5,2,8,4,20,60,83,97,105,198,196,194,208,198,238,240,219,196,131,99,54
"151",57,39,22,16,18,8,20,36,128,190,168,164,248,275,275,274,299,287,304,271,191,129,117,81
"280",25,4,11,1,0,2,3,14,54,50,46,70,104,103,116,95,105,121,141,138,98,79,43,24
"437",20,20,12,2,7,1,1,17,5,21,23,9,33,33,35,50,39,44,55,76,42,39,25,33
"482",51,34,32,14,9,8,22,23,55,112,89,115,163,182,166,172,215,285,311,275,177,130,128,92
"334",36,35,20,8,17,6,20,30,73,112,104,126,126,151,143,149,157,212,246,185,146,102,84,87
"444",52,25,13,6,3,8,35,143,288,345,211,278,321,419,383,377,311,358,365,290,215,154,102,56
"384",32,21,4,3,4,0,4,15,42,17,32,38,42,47,49,43,42,50,80,99,74,52,31,54
"342",19,14,11,8,1,4,2,7,17,29,35,41,53,37,58,60,66,68,84,77,70,57,43,23
"340",14,5,8,5,2,1,2,4,20,17,6,18,25,28,32,32,37,82,52,48,45,31,32,15
"393",38,34,16,7,12,10,2,3,5,14,15,21,34,46,47,53,57,97,137,115,92,108,57,51
"251",49,27,14,7,4,6,8,32,67,122,132,148,167,243,180,187,207,182,260,258,203,127,103,73
"247",28,8,12,8,3,0,1,13,43,34,52,75,73,83,128,150,118,119,151,142,97,70,45,43
"426",35,27,7,13,5,16,70,148,208,172,157,192,235,285,310,303,319,371,448,421,352,179,98,99
"404",49,27,16,19,7,10,16,48,170,219,148,203,297,309,337,298,342,403,436,359,236,158,106,99
"512",22,19,4,3,4,3,8,21,38,33,55,52,65,89,93,103,95,130,183,156,135,64,54,29
"504",63,23,25,15,11,12,29,40,89,72,70,71,89,111,115,113,149,197,293,239,170,152,96,85
"238",43,20,26,5,4,7,19,15,42,78,85,133,191,185,241,193,219,262,302,273,162,78,63,36
"244",6,11,6,5,1,1,1,3,14,25,13,19,19,20,33,23,22,36,50,49,42,41,41,28
"152",21,15,6,3,2,4,33,36,86,103,60,63,77,78,96,108,98,139,160,142,110,69,59,42
"83",26,30,12,8,4,4,10,17,31,59,61,72,54,91,97,90,101,113,142,161,128,70,49,36
"511",39,19,5,14,7,1,10,9,19,25,31,49,62,71,93,74,112,173,226,163,117,80,55,47
"439",76,49,13,6,8,5,17,30,49,78,72,92,151,162,169,191,219,302,373,333,220,136,137,119
"454",37,16,11,5,2,4,3,11,37,54,42,65,77,66,103,93,134,139,165,124,109,66,79,40
"312",44,30,16,2,11,7,21,26,30,58,49,77,108,121,119,134,106,171,229,228,170,123,85,69
"398",41,15,4,1,1,0,5,12,21,43,56,75,102,92,132,143,121,129,168,110,121,66,46,37
"383",25,14,3,3,4,4,16,39,85,142,71,59,113,128,126,122,93,151,174,144,99,78,53,42
"518",61,33,16,11,4,3,30,78,211,147,119,100,135,147,149,159,147,266,289,231,182,125,108,72
"447",34,27,13,3,2,1,6,34,89,97,88,114,133,129,133,164,145,191,230,186,135,118,88,78
"168",18,12,8,1,1,4,19,43,140,199,112,97,153,183,148,158,157,178,174,150,77,43,36,21
"225",38,28,9,12,2,4,17,37,77,102,123,162,179,185,216,204,247,276,310,264,223,102,83,46
"2008",17,1,6,3,2,3,14,40,52,60,37,53,69,81,91,108,102,111,119,117,74,60,41,29
"354",16,11,5,4,0,1,1,5,6,6,10,11,22,33,23,28,13,26,53,57,31,29,36,28
"486",20,17,7,2,3,3,29,52,113,142,98,119,98,126,110,119,145,159,177,133,89,55,41,32
"355",36,24,12,4,12,0,4,8,65,66,52,87,145,136,120,92,85,118,159,146,117,73,74,56
"146",17,14,12,3,4,4,7,16,54,58,54,68,84,103,104,102,100,128,154,111,101,53,61,42
"399",22,13,5,3,1,2,1,9,6,19,17,10,17,11,26,17,17,25,42,49,38,33,26,6
"459",88,50,30,20,21,26,67,97,260,328,231,286,349,379,362,424,410,481,540,423,383,221,150,116
"481",22,11,11,5,13,1,1,12,14,9,21,42,60,68,52,78,82,64,87,96,88,38,44,33
"375",35,28,8,6,3,1,16,70,128,179,138,120,134,194,162,154,177,186,215,164,122,93,55,30
"376",31,20,11,9,2,1,14,55,71,89,52,68,64,61,89,87,70,121,127,109,90,90,77,27
"82",14,10,8,0,7,3,6,11,8,10,17,33,58,54,42,51,54,64,74,48,36,38,21,19
"253",3,4,1,0,1,0,6,14,50,47,28,28,35,52,44,44,33,60,54,36,23,18,16,8
"515",45,26,25,11,10,5,11,26,49,63,66,90,103,129,142,138,163,252,275,245,181,136,92,81
"433",39,31,23,7,4,7,9,19,49,56,47,63,72,90,90,96,130,186,257,194,137,95,64,52
"305",50,15,18,12,7,12,49,98,174,146,104,118,143,176,194,196,206,253,266,224,160,132,58,42
"349",35,13,9,9,5,0,6,6,16,15,34,27,36,35,44,70,62,85,116,122,93,65,60,41
