Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"380",166,87,67,26,9,12,91,194,316,208,179,228,256,308,343,288,406,396,442,428,401,277,248,242
"3092",67,24,12,4,2,6,7,21,80,85,82,97,86,100,126,104,119,154,243,200,145,152,113,89
"449",60,38,17,15,16,15,28,28,82,76,60,83,132,145,164,160,170,296,374,274,208,167,115,93
"522",34,9,8,2,3,18,42,98,152,145,140,161,189,185,175,225,452,474,148,82,45,33,36,26
"335",29,25,12,7,0,2,17,97,165,216,172,199,213,199,267,321,339,453,337,227,153,77,70,42
"503",22,10,7,1,2,7,31,72,228,215,88,97,122,118,104,140,156,212,205,142,92,58,42,35
"533",21,7,7,5,1,17,97,166,437,595,259,229,269,297,283,209,250,320,201,125,82,40,37,32
"492",70,39,13,12,41,66,169,232,349,282,147,202,230,311,312,292,396,771,934,683,349,156,123,102
"525",27,8,3,3,1,13,27,117,264,246,184,222,229,279,261,309,239,297,371,197,140,64,69,29
"2002",43,24,12,3,2,15,32,122,208,259,141,154,153,164,189,170,144,232,301,283,173,135,89,71
"447",63,19,15,22,3,19,99,117,291,257,163,172,173,180,239,234,294,430,532,368,229,171,138,111
"350",22,19,15,3,3,13,64,211,343,125,120,106,113,152,145,144,202,212,209,210,129,80,77,44
"434",82,48,36,44,19,17,66,165,569,549,283,298,329,336,357,384,409,707,685,456,298,197,180,125
"355",32,14,11,8,8,14,30,93,172,195,149,148,219,251,194,215,270,318,329,267,214,149,117,58
"456",5,0,1,0,3,7,51,28,82,117,130,177,237,283,254,266,408,264,103,57,36,19,7,7
"450",45,28,14,6,9,26,113,336,391,347,187,145,203,243,261,260,314,460,552,477,280,231,206,125
"2021",54,29,14,12,9,26,71,112,133,165,218,163,195,217,247,208,274,470,552,350,171,157,156,96
"537",53,18,16,5,12,31,54,201,435,491,295,259,245,329,263,316,392,643,564,440,250,176,160,107
"377",28,14,6,1,3,14,22,44,67,117,92,106,164,152,110,173,213,553,750,395,215,106,84,48
"415",17,3,3,0,0,13,39,55,98,122,94,88,94,133,84,130,206,563,251,162,118,84,32,31
"439",115,81,48,41,32,37,119,265,421,256,183,234,269,275,292,265,284,386,455,391,331,248,228,200
"461",40,17,12,3,7,64,230,348,519,224,195,170,200,220,261,224,265,399,421,463,342,216,150,90
"238",56,32,12,20,13,31,155,255,247,132,140,166,171,194,183,233,240,273,291,190,178,129,94,56
"345",32,24,13,6,6,13,61,148,412,268,237,206,270,265,247,263,276,418,458,392,280,188,154,74
"3171",32,12,3,0,1,14,66,210,412,129,84,100,135,114,103,134,123,157,189,179,115,107,111,38
"462",57,23,17,26,15,43,135,308,585,387,444,390,348,333,326,344,389,520,788,431,304,255,219,144
"3125",19,6,0,2,0,1,1,23,36,57,24,34,33,38,51,37,44,93,141,100,91,63,48,36
"473",66,34,22,24,14,7,26,96,251,329,163,144,169,146,146,159,146,210,245,222,161,117,125,98
"328",33,18,18,7,1,32,89,135,262,228,192,189,216,182,216,207,329,553,390,328,186,138,115,64
"127",69,31,6,2,9,33,81,323,638,689,395,285,292,321,333,333,327,723,870,590,325,153,139,104
"504",118,56,38,26,22,48,192,448,581,245,287,313,316,308,289,360,397,557,514,441,372,265,195,176
"3120",10,1,3,1,0,2,11,21,23,27,29,33,40,23,30,36,23,53,65,70,38,26,16,8
"152",26,8,13,8,3,5,46,53,178,148,117,113,147,144,152,104,135,269,408,247,138,95,50,36
"412",29,16,15,3,6,6,19,36,140,240,173,178,153,187,200,201,251,309,341,265,193,130,111,46
"72",16,10,5,12,5,15,60,165,458,206,153,148,203,199,214,234,274,326,421,281,175,98,114,57
"482",61,33,23,13,11,30,159,277,331,328,261,235,236,230,253,283,256,368,564,494,347,243,158,110
"530",12,9,2,1,3,13,80,299,640,205,200,187,191,202,238,179,254,351,370,279,222,134,74,37
"334",85,47,20,10,7,66,102,193,296,348,262,275,283,278,273,283,309,435,729,503,301,203,144,124
"368",160,76,66,34,8,33,115,271,436,545,390,324,437,449,493,430,510,688,933,778,615,434,363,301
"3224",102,76,45,30,30,17,67,120,287,334,251,232,312,281,358,401,403,639,757,542,421,276,183,139
"3157",6,3,0,0,0,12,44,99,187,156,89,106,65,74,78,63,65,71,68,71,58,27,22,6
"296",34,17,15,26,2,4,53,37,138,126,140,145,131,179,164,134,139,221,217,192,155,145,103,70
"479",92,52,22,14,13,29,124,101,171,219,195,170,260,313,244,294,386,679,635,437,320,255,245,185
"519",90,45,9,5,3,88,438,979,1335,1165,483,438,467,466,498,624,1126,3055,2539,862,456,299,175,112
"3153",12,6,6,4,13,31,47,115,131,68,48,36,59,44,56,65,85,164,156,126,112,66,45,23
"3065",7,2,0,0,1,1,1,3,5,14,9,6,24,17,20,22,21,20,29,36,31,15,12,10
"2009",13,16,5,3,19,7,51,167,302,225,112,119,99,93,88,88,85,91,118,91,58,48,40,17
"157",28,15,8,1,4,14,45,98,202,110,85,57,86,74,73,82,101,76,112,80,69,36,58,63
"223",58,25,30,10,7,8,68,187,352,286,187,189,211,214,239,258,218,295,382,343,299,221,163,135
"242",9,0,0,1,0,3,5,17,52,54,29,35,74,79,57,64,60,73,121,64,47,23,26,18
"3141",34,16,4,6,6,15,119,366,790,509,289,308,304,330,328,378,479,470,581,410,211,162,107,118
"293",91,54,41,25,4,28,106,270,648,984,574,449,522,575,578,612,706,897,874,713,579,390,210,200
"326",78,33,23,9,14,34,123,253,321,194,150,232,322,272,272,251,250,320,365,314,226,208,141,123
"3255",86,43,17,16,40,148,255,371,539,537,305,283,324,317,300,308,310,508,694,568,377,274,217,172
"346",68,48,23,12,4,42,109,281,299,187,210,210,280,315,309,292,290,349,338,309,260,217,128,104
"161",114,52,19,18,14,4,57,159,305,307,253,264,295,326,341,343,376,504,608,515,396,326,271,196
"471",63,34,15,12,9,11,25,86,160,95,75,84,77,66,90,97,86,94,115,113,123,105,109,119
"217",29,12,1,1,6,0,10,52,47,92,66,98,158,222,278,284,249,260,222,244,213,118,115,78
"3147",51,23,4,5,7,33,118,395,573,188,148,194,210,222,221,223,276,313,339,296,233,156,133,83
"253",22,11,7,3,7,2,32,51,208,227,182,191,225,222,246,234,263,344,398,294,154,91,60,52
