Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"358",97,26,25,9,7,34,175,373,568,578,379,350,418,442,484,508,457,811,893,658,468,274,223,141
"335",25,8,10,6,6,2,12,45,70,141,105,127,172,195,216,193,238,298,265,227,119,77,50,30
"439",98,51,39,22,20,14,43,133,335,238,151,139,193,208,207,206,217,276,262,281,219,185,169,132
"463",48,40,24,21,14,0,9,33,142,122,127,146,241,273,274,277,340,496,414,270,234,108,75,60
"352",23,5,4,2,0,13,33,110,193,105,120,169,237,200,212,255,341,381,184,153,98,71,55,32
"293",143,53,35,21,19,14,69,168,555,611,404,439,473,584,553,611,650,923,928,694,613,474,366,226
"168",43,15,10,2,0,15,65,81,201,349,217,298,395,380,459,510,516,831,665,467,282,112,59,56
"453",66,26,21,12,5,29,105,216,236,176,140,182,204,244,242,234,229,300,375,319,293,182,130,93
"498",49,35,14,18,7,8,39,71,248,204,114,151,182,232,160,200,329,694,520,282,200,151,112,68
"312",109,65,54,45,26,43,56,102,287,182,112,195,167,242,239,258,242,314,293,311,322,231,211,220
"252",53,24,14,1,2,18,28,110,181,160,108,101,148,191,170,194,228,235,245,196,159,156,116,81
"325",62,25,12,9,6,37,89,162,303,213,130,127,156,161,147,159,214,269,306,306,251,133,110,68
"369",71,39,18,8,3,24,55,100,198,134,101,91,107,139,115,126,148,186,201,211,157,127,120,122
"382",110,45,25,18,12,6,28,112,292,361,311,342,366,449,489,469,519,659,715,686,483,319,262,177
"317",40,30,18,7,7,23,103,291,209,137,122,154,157,143,196,212,193,231,232,196,167,116,98,81
"250",56,20,20,12,12,9,41,81,186,195,206,284,363,351,409,423,484,651,713,438,294,174,100,58
"394",49,21,15,6,9,25,91,244,273,109,139,160,173,166,182,200,201,273,245,210,173,89,88,56
"528",96,27,21,7,8,29,87,173,208,172,173,233,192,264,232,293,387,494,547,458,320,239,222,130
"405",62,53,31,17,16,35,95,133,241,212,156,219,234,321,311,289,288,360,353,337,255,170,104,79
"483",83,27,20,9,8,23,29,182,229,170,111,183,237,235,248,255,305,360,388,360,330,218,185,105
"223",71,26,15,8,10,13,35,124,236,203,130,153,155,179,174,161,172,234,269,248,177,175,129,123
"229",59,42,10,14,3,11,35,106,203,332,217,221,271,252,308,303,304,457,504,364,279,196,98,83
"388",19,14,9,6,5,4,15,68,246,250,107,159,168,182,225,228,290,473,292,210,145,79,67,45
"516",3,1,2,2,0,1,27,80,82,117,70,64,79,60,84,88,88,280,205,101,42,29,21,16
"486",33,20,7,4,4,9,40,103,188,304,194,178,213,289,228,211,274,382,279,255,146,112,65,57
"243",10,5,1,0,0,3,1,22,22,28,29,21,25,18,29,33,39,69,82,77,49,28,24,14
"116",51,28,22,17,12,30,50,200,341,406,288,227,279,243,283,311,334,441,449,372,308,216,159,101
"361",45,13,27,23,18,26,62,118,270,233,201,192,182,197,207,221,191,224,265,271,260,139,114,82
"300",69,32,35,5,3,33,88,103,300,288,179,146,173,164,190,168,166,271,268,225,165,110,114,83
"398",20,18,0,2,3,0,13,18,29,57,41,66,72,78,90,118,107,122,119,87,82,73,65,44
"492",43,17,10,8,52,120,629,275,251,156,96,105,153,173,234,214,278,477,517,380,193,101,100,81
"485",26,7,9,5,2,9,48,90,204,195,117,162,202,224,210,177,213,205,180,138,66,54,48,38
"164",18,9,0,1,0,6,28,57,164,138,81,79,118,99,128,98,137,347,196,124,83,47,51,39
"326",44,36,29,13,10,13,86,208,281,148,138,152,181,159,230,188,232,255,277,239,189,175,129,89
"505",42,29,18,9,14,29,58,64,192,299,178,178,225,216,244,240,285,457,588,382,242,136,138,96
"479",78,43,15,17,17,25,124,112,130,173,127,132,169,155,190,177,248,390,443,338,252,240,247,137
"128",91,26,14,7,13,24,35,81,353,228,162,195,244,249,307,278,360,523,664,413,316,222,181,111
"521",96,46,28,14,23,70,912,1603,1888,1012,336,293,337,398,345,328,373,587,615,539,369,286,226,205
"290",29,18,25,3,3,39,90,133,161,113,106,94,113,109,144,149,135,232,321,216,173,124,102,50
"251",88,42,34,7,9,20,56,81,164,288,223,188,198,244,266,288,294,352,374,456,372,277,176,162
"249",14,5,1,0,0,1,8,21,48,67,57,62,81,90,86,95,120,253,232,120,77,54,44,39
"314",7,5,1,0,0,1,9,16,48,49,34,35,61,70,56,65,77,96,106,78,58,42,24,10
"497",86,40,10,9,6,18,63,126,316,436,402,488,573,602,737,772,875,1126,1101,707,466,385,201,148
"380",150,75,51,17,17,35,78,171,306,191,144,198,275,274,299,297,331,377,385,369,317,260,274,243
"467",15,11,6,0,1,6,33,59,155,104,79,83,67,76,93,87,72,100,71,73,103,50,54,60
"536",45,21,8,4,3,33,31,149,263,228,171,179,194,143,273,202,187,156,173,191,121,61,47,51
"448",31,15,13,6,6,24,160,204,213,203,131,128,157,119,147,179,145,271,287,256,172,132,73,40
"383",61,43,29,6,7,29,49,107,251,195,140,185,220,244,259,291,245,252,261,290,262,178,168,146
"476",62,35,17,14,10,36,98,95,162,136,148,165,170,164,183,189,260,397,425,341,255,205,150,117
"2003",21,12,5,5,2,18,99,242,287,117,141,138,156,143,197,169,204,218,260,215,156,93,77,46
"459",38,22,2,0,1,3,18,95,315,211,144,190,262,307,295,348,425,562,610,472,462,313,118,105
"257",27,20,16,6,1,4,10,47,134,159,107,134,131,161,161,160,193,315,353,228,135,71,66,42
"432",83,51,40,34,18,28,67,230,225,173,146,169,221,205,200,216,207,273,236,236,220,159,125,140
"444",51,43,16,3,10,6,45,151,327,209,223,286,436,547,598,612,709,909,622,505,347,250,144,110
"375",43,25,15,3,6,3,20,65,216,267,169,208,266,286,271,249,308,454,519,445,299,154,109,66
"461",21,17,10,8,6,47,147,213,333,159,147,185,143,160,209,244,249,289,330,308,236,147,119,78
"174",21,6,2,6,4,8,65,128,351,153,99,105,89,96,94,130,123,186,189,166,156,84,45,39
"146",42,13,10,4,4,11,29,65,102,98,85,117,119,171,135,127,151,274,251,222,154,97,72,69
