Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"426",101,40,24,4,3,47,162,354,466,397,347,423,506,546,556,664,675,852,897,772,596,416,233,175
"265",61,23,12,4,0,2,12,52,136,129,127,145,161,180,192,204,233,258,349,348,264,176,121,82
"368",108,63,26,14,10,6,23,107,224,362,327,373,412,411,412,413,501,596,707,585,552,342,269,206
"380",103,45,29,14,9,8,23,56,138,132,167,248,287,318,323,362,351,591,617,456,388,279,238,221
"305",47,38,20,20,11,26,153,235,261,257,173,175,212,257,212,248,250,351,359,268,207,116,94,82
"247",42,10,16,6,7,1,9,31,78,55,102,140,156,220,219,248,270,351,282,244,156,117,101,61
"341",25,8,4,3,3,10,10,27,55,59,54,72,71,77,81,95,94,153,123,129,172,66,58,43
"447",55,27,19,14,6,12,55,100,185,177,143,128,183,202,189,164,205,317,330,290,201,147,124,96
"488",74,43,17,9,10,10,57,92,172,250,214,162,179,239,252,381,490,636,468,343,228,175,163,127
"473",53,24,4,8,5,3,25,35,49,85,102,123,140,136,161,191,183,250,292,294,221,148,97,69
"387",27,19,8,10,4,16,51,176,361,319,228,237,311,321,372,377,421,496,375,303,190,147,107,61
"432",125,56,30,23,13,4,11,33,58,79,97,139,187,186,231,226,290,369,479,368,309,194,216,195
"403",60,42,23,12,5,4,15,52,95,102,119,133,180,187,222,231,277,349,373,283,218,153,141,89
"518",98,54,32,24,10,6,37,107,286,308,160,166,184,209,194,213,264,422,421,292,267,207,194,134
"382",104,43,23,23,10,8,87,198,413,457,358,376,441,431,505,480,504,645,692,640,443,303,194,160
"116",81,44,32,12,4,7,103,176,305,390,317,237,232,280,256,261,299,438,445,370,323,244,157,143
"297",56,26,16,11,5,7,43,105,211,128,133,139,189,180,218,224,254,392,378,328,278,197,122,94
"428",61,25,23,12,6,12,41,81,154,106,109,132,146,166,223,225,238,387,469,393,294,214,152,121
"331",32,19,7,9,3,3,5,21,35,22,39,44,60,57,67,89,91,118,176,109,133,109,59,61
"492",32,9,6,3,41,32,98,167,214,169,136,130,189,212,355,448,996,1121,616,278,147,71,63,63
"496",35,15,9,5,5,9,59,108,370,413,236,263,272,271,263,293,335,471,409,271,199,125,75,53
"284",121,54,31,13,9,38,80,152,301,346,332,364,387,368,388,400,457,661,750,574,453,284,202,159
"526",22,23,5,5,10,10,58,116,285,355,219,222,248,228,226,208,211,280,229,146,134,89,86,59
"379",24,15,3,1,9,12,79,163,323,296,226,190,189,214,309,386,564,917,507,330,143,119,97,49
"517",8,1,0,5,6,4,62,163,314,372,151,119,107,121,128,123,167,353,180,86,30,18,15,13
"444",29,25,12,3,4,27,125,326,609,423,297,323,443,483,527,540,499,557,543,429,289,162,104,86
"258",25,12,5,5,2,1,1,11,13,16,24,22,48,46,32,40,49,77,121,113,105,54,36,39
"358",77,50,23,17,9,32,94,190,427,551,374,361,447,488,545,648,552,874,995,734,487,329,201,132
"236",100,61,37,18,8,11,32,31,102,145,140,185,227,236,272,251,329,402,486,395,313,239,174,168
"312",120,44,34,16,12,10,22,75,96,107,109,164,183,224,229,357,248,403,518,404,335,252,198,170
"478",62,33,32,21,21,40,53,82,92,115,82,116,135,131,167,235,242,446,536,350,270,115,114,71
"355",55,39,26,9,7,9,5,41,139,215,145,142,207,167,174,151,177,246,230,236,195,171,99,87
"217",21,25,7,0,2,1,7,25,39,64,56,63,102,125,140,134,93,103,124,131,111,89,55,44
"485",14,11,4,2,8,35,35,135,264,244,164,153,164,211,150,148,160,187,187,134,84,57,47,37
"545",41,23,15,12,4,7,45,208,274,174,150,181,198,233,188,209,274,373,376,250,186,135,94,74
"507",88,36,24,26,14,10,43,94,159,128,107,96,133,137,157,194,220,355,381,304,274,235,268,182
"345",91,32,21,18,13,10,123,180,289,329,261,310,296,320,373,388,443,610,601,429,332,254,166,104
"448",58,35,22,8,8,18,33,36,164,164,110,107,124,131,147,144,167,275,348,318,275,211,160,95
"480",45,23,10,8,4,5,39,81,61,58,108,103,102,121,119,161,164,281,321,257,212,148,109,58
"497",73,25,20,19,13,34,155,412,753,643,525,610,642,676,663,750,789,969,865,615,452,266,133,104
"457",44,19,8,4,1,13,113,150,291,301,194,232,286,347,280,379,347,398,445,327,256,158,80,61
"2017",22,8,2,4,0,1,39,48,112,185,75,52,91,66,72,67,67,87,65,59,49,51,26,26
"326",46,25,28,10,16,5,14,68,127,101,94,137,171,179,211,226,233,381,414,365,236,177,129,72
"261",29,6,3,9,0,1,13,18,30,33,35,35,38,41,49,57,65,115,135,154,91,68,45,35
"463",63,25,11,11,23,13,68,98,236,175,152,186,229,310,270,258,311,368,433,348,211,124,94,81
"347",54,22,7,30,41,33,103,314,518,471,248,282,350,414,430,412,444,531,544,570,475,320,149,72
"475",41,14,20,6,8,19,72,168,229,187,157,120,154,199,143,165,219,304,290,226,212,173,138,89
"470",65,42,34,15,11,12,6,57,92,112,83,120,176,187,227,211,230,353,397,306,316,197,178,121
"414",9,8,9,1,2,3,13,17,82,139,84,65,77,83,83,73,84,80,90,70,61,39,26,25
"521",76,28,20,15,11,19,132,245,453,425,293,283,329,392,471,772,1050,1694,1017,569,451,281,214,124
"509",54,33,11,11,5,2,41,79,115,183,188,264,326,356,346,352,454,620,597,416,351,231,193,124
"445",151,73,38,12,12,7,31,56,86,108,150,196,205,236,280,320,375,513,601,448,410,242,208,218
"267",14,5,1,3,2,10,33,26,174,171,92,134,110,110,117,157,164,223,149,106,86,52,30,21
"152",38,15,8,3,3,6,32,77,140,129,99,93,100,117,125,113,136,137,194,125,85,60,51,31
"300",66,32,20,11,10,18,27,67,186,187,106,111,129,148,175,151,179,273,329,392,326,208,147,117
"237",87,37,35,16,11,6,22,61,99,100,95,142,235,226,244,264,313,459,600,510,384,241,188,154
"372",19,12,6,5,2,0,3,1,5,22,6,5,13,18,25,24,20,38,40,34,32,30,22,14
"377",23,4,6,1,12,34,23,63,360,380,138,113,157,157,123,130,131,169,136,124,105,44,48,27
"511",53,25,19,10,9,1,41,46,49,50,56,93,107,105,138,167,176,449,440,247,280,191,129,76
"262",15,5,9,2,2,4,4,5,18,11,13,25,31,32,26,38,34,52,71,79,80,56,35,27
"405",66,29,8,5,7,22,61,62,141,234,213,233,240,294,309,309,348,493,463,385,268,180,100,87
"329",37,17,11,14,8,53,287,236,282,180,132,139,230,289,245,226,265,251,278,254,196,120,89,70
"400",14,11,3,4,2,1,3,18,23,22,22,26,29,37,47,51,40,88,60,97,97,45,22,24
"361",88,46,18,19,10,12,54,60,124,142,175,164,183,211,162,213,210,301,344,312,272,212,203,153
"486",40,20,5,5,4,14,49,90,221,410,236,217,251,249,235,200,227,275,252,209,136,111,61,46
"334",54,36,22,6,23,12,92,64,150,180,222,181,241,234,226,247,289,453,414,297,221,172,142,113
"363",75,28,14,10,5,1,20,65,122,132,164,171,225,231,250,280,339,416,448,320,301,222,145,95
"164",32,12,17,7,8,1,29,63,270,325,116,54,79,82,86,93,94,144,116,137,93,56,52,54
"350",47,22,11,7,7,5,17,24,55,69,59,62,98,88,120,161,163,288,287,208,137,116,75,59
"251",84,43,32,16,4,21,49,88,172,328,232,236,272,258,260,275,294,325,380,418,343,234,192,141
"295",50,39,11,16,6,20,21,38,58,100,96,94,98,108,110,123,129,195,167,142,119,116,86,107
"336",46,45,28,10,10,3,27,42,152,145,122,148,161,202,217,177,231,307,365,310,229,170,131,120
"340",40,14,16,4,5,2,2,42,59,29,28,27,53,48,77,95,94,122,96,106,93,112,79,65
"225",14,10,6,2,3,3,25,44,120,238,121,171,169,165,248,248,294,324,306,335,212,119,57,33
"307",53,17,17,18,7,5,52,53,153,112,119,158,149,164,167,211,246,361,369,287,246,194,136,76
"531",95,54,37,19,11,9,16,79,128,198,169,137,147,208,178,200,182,319,357,325,294,171,191,146
"396",23,10,7,2,4,2,3,3,15,13,12,22,15,29,29,38,33,51,57,83,75,32,28,33
"487",32,22,10,8,8,10,17,48,57,74,68,90,100,95,149,186,238,408,340,202,193,110,90,86
"494",61,45,27,19,11,27,37,71,186,245,188,199,197,201,220,240,273,457,461,305,322,194,171,107
"499",60,28,22,13,5,24,75,134,169,211,225,293,349,472,466,548,532,654,683,485,304,175,121,125
"2009",27,12,6,9,7,2,6,13,62,70,62,63,49,60,74,82,120,160,139,101,108,107,122,61
"330",22,5,2,0,6,13,48,107,197,168,95,98,119,135,140,138,118,162,160,96,61,65,61,30
"522",10,11,3,2,1,43,94,312,348,188,100,77,102,96,83,63,75,82,59,37,32,23,22,10
"319",14,7,3,0,5,7,21,98,262,186,85,80,130,114,104,121,184,205,188,120,73,63,37,15
"274",14,4,0,0,2,9,5,24,44,61,62,60,52,42,43,49,63,89,136,111,65,46,26,25
"505",52,44,20,11,18,9,26,57,191,295,199,200,216,235,319,301,353,461,393,265,193,108,95,80
"128",58,40,20,15,4,8,16,102,437,398,157,208,227,267,304,289,322,439,484,420,354,243,158,129
"316",19,17,12,5,11,1,25,95,191,190,113,85,132,132,102,91,101,198,141,137,128,100,79,35
"325",83,39,27,9,7,19,37,72,181,168,118,123,157,134,145,174,232,346,408,307,280,170,166,108
"446",52,23,24,9,7,6,63,91,231,327,242,253,305,314,339,337,346,539,477,385,333,195,152,104
"216",9,5,5,0,1,3,6,5,11,12,20,32,45,52,51,67,65,60,61,76,78,40,30,22
"335",24,11,9,5,5,10,21,63,162,259,153,135,170,197,164,170,182,242,222,167,114,71,45,30
"406",27,10,12,5,0,1,2,14,27,45,39,54,92,105,101,88,83,136,188,168,154,77,48,42
"290",49,19,8,3,8,10,67,116,128,114,107,82,138,145,124,129,148,276,308,257,183,128,121,70
"357",28,16,4,2,3,3,19,58,159,192,171,136,149,186,164,180,180,265,205,146,119,92,62,40
"398",21,9,12,1,0,0,3,8,34,37,57,82,83,78,79,114,102,154,156,120,103,75,49,41
"353",18,5,1,2,2,8,3,7,14,57,34,32,38,33,45,38,45,80,90,81,81,41,27,20
"224",26,23,7,11,2,2,35,65,104,110,87,82,124,124,180,143,142,213,147,144,115,82,56,25
"281",32,16,16,7,3,40,92,230,399,394,291,289,363,362,372,397,368,368,329,230,166,102,52,40
"306",61,29,23,21,4,3,66,135,205,282,161,123,164,172,169,149,178,242,240,295,242,191,143,90
"2012",47,24,10,9,8,20,264,183,176,189,82,78,119,115,117,126,120,126,108,116,79,57,65,61
"311",49,29,10,8,8,13,52,75,111,81,74,86,94,116,135,123,150,214,189,176,200,146,115,84
"410",40,24,23,12,7,0,15,60,89,73,112,145,149,135,157,173,200,333,438,368,226,146,113,71
"2000",34,23,12,2,1,8,27,38,164,234,107,102,114,114,129,119,140,201,162,161,106,98,62,46
"423",38,29,9,5,3,2,4,19,68,35,40,49,95,97,74,96,127,157,174,160,106,82,73,65
"479",93,46,34,15,9,10,29,51,100,178,128,113,159,170,194,218,234,392,451,336,280,288,217,125
"127",18,14,8,2,3,6,22,21,118,125,91,73,81,70,104,113,125,182,236,216,142,93,60,47
"388",19,15,1,4,5,1,16,88,363,576,183,141,161,197,238,244,200,236,299,246,143,94,46,33
"72",39,21,15,5,7,8,24,109,147,162,120,104,152,174,150,180,223,286,389,331,202,121,115,72
"2002",24,20,10,8,0,0,11,28,59,92,92,136,132,188,166,214,212,224,296,226,147,80,68,59
"252",46,27,19,8,2,4,26,83,78,110,99,112,161,202,191,197,225,254,324,234,222,125,102,62
"519",50,22,6,6,6,64,245,575,756,597,247,227,294,295,373,441,634,1340,998,449,252,174,143,101
"504",110,70,28,25,22,21,61,142,211,140,139,181,223,241,226,285,331,579,635,476,375,239,224,133
"238",33,15,9,3,1,5,35,25,70,85,116,128,167,181,226,246,253,313,404,273,176,118,76,61
"439",103,32,28,9,8,14,36,37,71,88,130,144,207,205,235,207,310,466,564,414,265,210,175,114
"151",78,50,20,11,16,43,90,140,362,540,388,382,414,478,470,472,475,553,668,569,422,264,185,114
"508",38,21,10,8,3,5,37,78,133,211,120,86,126,132,154,132,197,254,298,254,170,104,86,56
"322",12,11,2,0,0,3,4,10,43,44,62,72,97,98,92,107,85,102,137,91,81,49,43,28
"404",66,24,13,13,20,5,63,137,339,314,231,267,300,274,312,345,354,446,451,411,309,182,127,81
"266",23,8,5,2,4,8,2,5,32,18,29,30,27,35,54,59,80,147,169,140,90,75,41,31
"483",59,31,22,6,4,8,50,54,135,132,138,206,263,227,262,276,323,414,454,428,365,233,186,94
"233",5,5,1,1,0,18,58,146,221,167,74,89,76,92,94,88,86,123,132,128,78,64,47,30
"489",87,48,28,18,11,2,24,58,108,260,234,151,157,113,165,239,209,274,295,284,223,128,112,109
"401",123,65,23,20,10,11,15,47,96,102,130,151,185,207,224,270,237,379,440,435,339,255,212,158
"394",46,27,18,15,3,7,29,19,54,61,90,139,153,158,236,264,272,451,424,285,217,155,116,84
"317",71,33,23,13,7,3,7,59,88,72,83,100,159,162,237,214,276,418,396,291,218,151,131,105
"427",6,13,6,2,1,9,14,129,240,346,115,123,163,148,157,176,198,158,150,126,62,48,20,25
"435",52,30,13,8,4,25,102,203,678,737,489,408,519,516,565,510,581,680,733,538,395,274,131,69
"161",76,50,14,11,3,3,8,66,144,198,169,196,225,239,260,253,269,390,345,342,259,200,159,110
"332",10,9,3,5,2,0,10,22,25,45,55,88,73,91,102,122,147,218,226,151,118,71,39,11
"293",85,39,25,14,13,30,186,363,632,562,436,400,490,541,523,587,571,866,900,747,568,417,267,174
"512",51,34,18,4,7,2,22,93,100,108,94,120,136,152,163,182,215,359,332,259,226,153,92,82
"433",79,36,33,16,13,8,2,40,68,63,74,138,132,169,173,225,212,482,495,353,245,187,149,119
"239",8,3,2,0,0,7,53,96,197,112,50,31,29,53,43,26,22,41,54,35,39,16,32,18
"443",6,3,8,3,2,2,1,2,2,3,7,19,29,33,29,26,24,32,24,39,29,17,9,13
"195",36,29,19,8,5,22,106,193,404,292,147,143,186,251,235,231,239,254,157,144,118,96,76,62
"450",74,42,23,11,10,13,157,177,237,208,102,120,158,195,170,190,214,307,338,361,251,173,134,110
"434",46,19,18,6,1,1,14,105,251,384,205,165,193,192,191,179,218,273,359,285,196,153,99,103
"495",53,34,18,16,6,2,44,49,61,86,77,96,108,140,158,162,198,342,361,263,213,156,108,86
"440",24,19,5,6,2,13,108,197,348,182,76,98,114,105,134,129,125,180,169,103,70,66,46,32
"461",39,22,14,18,5,35,77,107,156,112,119,146,129,170,228,195,303,415,527,411,278,172,156,102
"2003",29,18,18,8,6,5,15,85,102,82,97,131,135,161,189,156,210,348,416,279,167,130,80,51
"532",77,38,23,18,6,9,10,17,55,97,71,102,170,210,221,268,244,247,418,291,257,165,97,92
"244",32,15,8,0,2,0,3,4,22,30,23,29,29,30,27,27,42,54,120,104,69,85,75,50
"174",48,23,10,7,13,2,20,94,176,89,71,67,89,71,103,99,123,190,222,236,185,140,106,73
"399",16,9,5,3,1,0,3,3,30,20,13,19,26,27,21,21,24,40,70,55,44,36,15,31
"502",18,13,13,4,9,3,20,39,44,51,88,85,107,94,147,164,205,306,318,207,150,92,59,32
