Stationid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"173",38,20,21,19,23,94,381,695,809,729,331,297,338,425,327,335,408,516,458,323,182,165,132,72
"477",133,39,28,19,8,44,103,237,583,667,426,311,383,482,770,928,733,1143,1213,687,436,322,227,233
"457",30,23,16,6,4,56,148,265,532,525,485,439,545,593,467,487,504,706,710,452,299,191,132,70
"379",37,17,20,8,11,40,162,357,742,498,287,301,278,310,501,630,772,1340,936,394,211,152,116,118
"459",22,14,4,0,4,130,245,337,469,624,453,416,490,513,565,552,652,904,1131,730,437,249,110,55
"446",45,20,19,8,8,17,54,177,355,524,454,320,369,427,406,433,484,633,707,486,339,247,152,80
"212",27,12,12,6,6,27,181,213,366,533,259,259,282,270,276,307,351,400,465,369,201,147,63,57
"458",70,27,15,11,6,20,231,302,654,578,273,229,350,456,417,418,453,743,695,496,347,224,175,112
"514",70,29,9,19,6,20,157,318,549,372,345,407,635,595,686,769,1084,1680,1376,947,607,334,220,115
"465",69,39,13,13,20,59,191,415,928,1084,553,365,379,408,331,329,633,600,520,321,190,154,98,82
"524",19,8,5,0,0,25,129,473,1012,449,181,207,244,242,236,237,282,345,290,153,76,77,30,23
"382",81,38,13,11,20,44,168,253,520,517,367,392,451,497,433,450,540,694,719,494,418,266,197,105
"462",62,30,19,11,10,31,81,144,191,413,366,349,350,468,474,464,485,714,888,606,429,302,191,116
"3141",38,28,19,20,19,59,334,449,742,681,366,251,291,313,282,271,313,456,502,357,244,173,122,76
"456",13,7,1,15,11,145,484,730,1769,1068,415,350,303,340,282,218,269,341,278,130,72,30,28,16
"519",93,23,7,5,30,50,401,740,1366,1339,626,481,506,501,500,721,1153,2188,1730,734,365,228,175,93
"328",28,26,11,4,6,37,110,294,371,289,203,156,224,204,193,264,342,365,446,354,241,137,98,50
"426",91,37,17,13,7,33,246,696,1478,1164,595,616,676,702,755,808,931,1147,1397,1132,762,485,290,143
"3659",55,46,12,9,11,21,55,181,416,512,266,155,218,261,216,229,267,436,416,353,239,146,102,112
"359",5,22,4,2,20,55,444,1116,2242,1475,454,202,167,221,206,210,324,439,266,97,72,37,34,16
"525",22,10,10,6,8,54,224,172,272,272,259,261,296,310,252,272,348,448,535,282,189,110,66,40
"405",66,22,23,12,11,5,37,147,377,493,382,400,407,553,501,508,540,611,833,691,498,239,185,132
"3163",45,16,9,9,3,45,49,114,168,237,306,333,390,391,492,472,476,612,584,377,262,174,163,122
"376",25,15,9,10,2,4,63,153,273,322,166,109,125,124,128,108,113,129,185,136,108,100,76,52
