Date,orders,weather
1/1/16,11009,0
1/2/16,14587,0
1/3/16,15499,0
1/4/16,19593,0
1/5/16,18053,0
1/6/16,24569,0
1/7/16,27773,0
1/8/16,28709,0
1/9/16,20846,20000
1/10/16,14275,72000
1/11/16,22937,0
1/12/16,25211,0
1/13/16,21133,0
1/14/16,23780,0
1/15/16,28435,0
1/16/16,19178,9600
1/17/16,12024,2000
1/18/16,12718,2000
1/19/16,17281,0
1/20/16,23419,0
1/21/16,23671,0
1/22/16,20950,400
1/23/16,0,92400
1/24/16,0,0
1/25/16,0,0
1/26/16,0,0
1/27/16,6760,8000
1/28/16,11944,0
1/29/16,16028,0
1/30/16,12964,0
1/31/16,16112,0
2/1/16,24334,400
2/2/16,28527,0
2/3/16,16203,29200
2/4/16,27765,0
2/5/16,13669,21200
2/6/16,16933,0
2/7/16,17605,0
2/8/16,19026,2000
2/9/16,22740,0
2/10/16,22418,400
2/11/16,18747,0
2/12/16,16445,0
2/13/16,6625,0
2/14/16,4652,0
2/15/16,5883,17600
2/16/16,14225,40400
2/17/16,23572,0
2/18/16,22261,0
2/19/16,21959,0
2/20/16,24484,0
2/21/16,20052,1200
2/22/16,28233,0
2/23/16,16133,12000
2/24/16,9761,48800
2/25/16,25102,800
2/26/16,22574,0
2/27/16,17226,0
2/28/16,25440,0
2/29/16,27957,2000
3/1/16,30509,0
3/2/16,26195,5600
3/3/16,24061,0
3/4/16,17369,4400
3/5/16,18023,0
3/6/16,18832,0
3/7/16,31492,0
3/8/16,36521,0
3/9/16,41489,0
3/10/16,42252,0
3/11/16,38193,2400
3/12/16,32770,0
3/13/16,27549,0
3/14/16,10930,11600
3/15/16,31595,0
3/16/16,36067,800
3/17/16,35390,0
3/18/16,34647,0
3/19/16,24048,0
3/20/16,16676,2800
3/21/16,26414,2400
3/22/16,33496,0
3/23/16,40981,0
3/24/16,36495,0
3/25/16,34091,1600
3/26/16,27474,0
3/27/16,22481,0
3/28/16,20344,15200
3/29/16,31481,0
3/30/16,33674,0
3/31/16,38192,0
4/1/16,34448,800
4/2/16,21838,6400
4/3/16,15321,3600
4/4/16,12302,18800
4/5/16,26236,0
4/6/16,29364,0
4/7/16,30400,3600
4/8/16,30811,400
4/9/16,12698,4400
4/10/16,23228,0
4/11/16,32048,400
4/12/16,23765,8000
4/13/16,37538,0
4/14/16,38502,0
4/15/16,39676,0
4/16/16,36148,0
4/17/16,38838,0
4/18/16,43989,0
4/19/16,46075,0
4/20/16,44542,0
4/21/16,45568,0
4/22/16,48806,0
4/23/16,33631,6400
4/24/16,37862,0
4/25/16,42303,0
4/26/16,34639,9600
4/27/16,41931,0
4/28/16,37428,0
4/29/16,34878,2000
4/30/16,38258,0
5/1/16,10697,6400
5/2/16,38536,1600
5/3/16,22858,24400
5/4/16,31619,400
5/5/16,39903,0
5/6/16,18860,21600
5/7/16,31078,0
5/8/16,31197,6400
5/9/16,45724,0
5/10/16,44849,0
5/11/16,51181,0
5/12/16,52273,0
5/13/16,32391,10000
5/14/16,42063,0
5/15/16,28662,0
5/16/16,42787,0
5/17/16,43396,0
5/18/16,44803,0
5/19/16,49184,0
5/20/16,52544,0
5/21/16,30524,1600
5/22/16,37804,3600
5/23/16,48578,800
5/24/16,34799,7200
5/25/16,53441,0
5/26/16,52134,0
5/27/16,46943,0
5/28/16,34233,0
5/29/16,36881,0
5/30/16,32627,66000
5/31/16,49774,0
6/1/16,54662,0
6/2/16,54401,0
6/3/16,38975,1600
6/4/16,40973,16000
6/5/16,22395,36400
6/6/16,52130,0
6/7/16,51761,0
6/8/16,42063,18000
6/9/16,52885,0
6/10/16,53235,0
6/11/16,40980,0
6/12/16,40636,0
6/13/16,49069,0
6/14/16,54813,0
6/15/16,55049,0
6/16/16,46198,8800
6/17/16,54236,0
6/18/16,48901,0
6/19/16,45270,0
6/20/16,52247,0
6/21/16,53564,0
6/22/16,55749,0
6/23/16,53206,0
6/24/16,54186,0
6/25/16,43000,0
6/26/16,42992,0
6/27/16,47023,18000
6/28/16,49593,4800
6/29/16,54882,400
6/30/16,54843,0
7/1/16,39665,33200
7/2/16,35835,0
7/3/16,35347,0
7/4/16,34859,19600
7/5/16,43736,26400
7/6/16,51336,0
7/7/16,48724,1600
7/8/16,44400,3200
7/9/16,38138,21200
7/10/16,41985,0
7/11/16,52853,0
7/12/16,56515,0
7/13/16,55471,0
7/14/16,50345,24800
7/15/16,48558,0
7/16/16,38405,0
7/17/16,41346,0
7/18/16,43681,14000
7/19/16,54587,0
7/20/16,57213,0
7/21/16,54832,0
7/22/16,49185,0
7/23/16,37522,0
7/24/16,39634,0
7/25/16,35376,40000
7/26/16,52904,0
7/27/16,54148,0
7/28/16,50134,0
7/29/16,37693,43600
7/30/16,27780,10000
7/31/16,27651,43200
8/1/16,49395,0
8/2/16,56744,0
8/3/16,56992,0
8/4/16,56587,0
8/5/16,53286,0
8/6/16,44209,2000
8/7/16,43631,0
8/8/16,52251,0
8/9/16,56101,0
8/10/16,50100,3600
8/11/16,47420,6000
8/12/16,44729,12800
8/13/16,38903,0
8/14/16,32961,2400
8/15/16,49056,0
8/16/16,50411,4400
8/17/16,53983,400
8/18/16,53209,1200
8/19/16,51658,400
8/20/16,45808,32800
8/21/16,35041,12400
8/22/16,54201,0
8/23/16,58665,0
8/24/16,58134,0
8/25/16,53480,400
8/26/16,52026,0
8/27/16,45673,0
8/28/16,44639,0
8/29/16,53279,0
8/30/16,57392,0
8/31/16,57200,0
9/1/16,38174,20000
9/2/16,52999,0
9/3/16,41629,0
9/4/16,46020,0
9/5/16,45431,0
9/6/16,52432,0
9/7/16,60278,0
9/8/16,61551,0
9/9/16,56804,8800
9/10/16,48454,0
9/11/16,52238,0
9/12/16,61083,0
9/13/16,64818,0
9/14/16,58928,22400
9/15/16,67312,0
9/16/16,65257,0
9/17/16,59199,0
9/18/16,51685,0
9/19/16,34205,27200
9/20/16,64881,0
9/21/16,65453,0
9/22/16,67762,0
9/23/16,65499,400
9/24/16,53258,8000
9/25/16,53563,0
9/26/16,61120,0
9/27/16,61334,8800
9/28/16,59456,0
9/29/16,55550,0
9/30/16,21368,16000
10/1/16,39809,0
10/2/16,41018,0
10/3/16,56369,0
10/4/16,60196,0
10/5/16,65031,0
10/6/16,67580,0
10/7/16,65881,0
10/8/16,34624,9200
10/9/16,21687,22000
10/10/16,52248,0
10/11/16,58754,0
10/12/16,57497,0
10/13/16,61209,0
10/14/16,60561,0
10/15/16,51991,0
10/16/16,48866,0
10/17/16,62649,0
10/18/16,68224,0
10/19/16,69758,0
10/20/16,63668,0
10/21/16,40865,44400
10/22/16,25301,11600
10/23/16,41462,0
10/24/16,55254,0
10/25/16,52667,0
10/26/16,52466,0
10/27/16,21054,56400
10/28/16,46233,0
10/29/16,42513,0
10/30/16,37760,22400
10/31/16,50071,0
11/1/16,55944,0
11/2/16,62133,0
11/3/16,59632,0
11/4/16,57867,0
11/5/16,48687,0
11/6/16,39413,0
11/7/16,49883,0
11/8/16,56589,0
11/9/16,38050,2400
11/10/16,50863,0
11/11/16,45826,0
11/12/16,34664,0
11/13/16,36806,0
11/14/16,48810,0
11/15/16,22884,72400
11/16/16,53328,0
11/17/16,53889,0
11/18/16,53370,0
11/19/16,41208,10000
11/20/16,20616,12400
11/21/16,32964,0
11/22/16,36723,0
11/23/16,34462,0
11/24/16,12122,1200
11/25/16,20980,800
11/26/16,23810,0
11/27/16,24076,0
11/28/16,42086,0
11/29/16,14584,88000
11/30/16,24434,29200
12/1/16,43233,2800
12/2/16,42358,0
12/3/16,29853,0
12/4/16,27454,0
12/5/16,35927,7600
12/6/16,33325,14000
12/7/16,38010,3600
12/8/16,39621,0
12/9/16,33540,0
12/10/16,22379,0
12/11/16,17798,1200
12/12/16,29035,20000
12/13/16,39023,0
12/14/16,37799,0
12/15/16,25002,0
12/16/16,24484,0
12/17/16,6993,29200
12/18/16,16295,1600
12/19/16,25648,0
12/20/16,27677,0
12/21/16,30611,0
12/22/16,30874,0
12/23/16,26335,0
12/24/16,8014,18800
12/25/16,9919,0
12/26/16,10774,800
12/27/16,25946,0
12/28/16,23596,0
12/29/16,13202,15600
12/30/16,21366,400
12/31/16,15925,0
